Nom,Ãge,NA,Cor,Cen,Drb,Apl,Agr,Fin,Ctn,Ctr,DÃ©t,Ins,Col,DÃ©c,Ãqu,CF,Acc,Pui,Pla,Phy,Vol,Vit,Agi,DÃ©t.1,Sgf,End,Crg,Ldr,Vis,Ant,TÃªt,Tir,T Lg,Mar,Pas,Pen,Tcl,Tec,NA_end
Guillermo Mella,15,31,4,9,5,2,5,5,7,7,3,5,6,11,12,4,7,5,7,10,6,8,8,10,7,11,10,12,4,5,9,2,2,5,7,4,7,8,31
JÃ©rÃ´me KÃ¼hlwetter,15,35,3,6,2,4,10,1,4,8,4,9,13,10,6,1,13,6,5,16,15,9,9,5,5,12,5,1,4,5,2,1,4,2,4,2,6,4,41
Leo Ludwig,15,46,6,9,6,5,14,2,7,7,14,4,10,11,14,3,8,5,7,9,9,9,9,10,7,11,9,5,5,7,4,2,2,7,6,4,8,11,52
Tony Scharinger,16,54,5,7,4,5,11,3,9,9,13,3,8,9,6,6,7,6,10,9,11,8,11,10,7,7,15,8,4,8,16,4,2,6,7,4,11,5,74
JÃ¼rgen Dierkes,15,39,5,5,7,5,9,6,7,6,11,8,8,9,13,10,11,3,6,16,12,7,11,8,6,8,16,13,6,5,4,2,5,4,5,3,9,8,56
Samuel Costa,16,47,4,8,8,5,11,3,6,5,3,11,17,9,9,4,13,2,6,8,14,9,10,4,6,9,16,8,3,8,4,2,2,6,5,2,6,10,52
Nico Buschmann,16,46,3,6,4,5,8,7,7,7,10,16,12,9,10,4,10,3,5,13,7,10,10,7,6,11,11,3,9,8,3,3,2,7,8,4,5,13,57
Luca Thomas,15,47,4,8,6,6,8,4,7,7,10,5,15,6,12,2,6,5,13,13,10,7,7,15,5,12,6,10,5,6,7,2,4,8,7,2,11,7,54
Daniel Prinzen,15,44,6,6,5,7,14,5,9,9,9,6,7,8,14,10,9,8,6,9,7,7,6,14,7,8,7,11,6,5,9,8,2,10,7,5,11,7,63
Tobias Deutschmann,16,50,5,5,3,5,7,4,6,4,11,6,10,7,14,3,6,8,8,12,14,11,9,13,8,9,17,12,5,6,6,6,6,9,13,2,9,6,82
Alparslan Verep,15,48,4,8,7,6,7,5,8,7,8,5,13,9,11,3,11,5,7,12,10,11,11,6,6,9,6,15,6,8,6,5,7,5,6,6,7,8,54
Ãzgen YÄ±ldÄ±rÄ±m,16,46,4,7,8,5,16,3,7,7,13,6,9,6,9,7,4,6,8,13,13,7,8,15,10,9,18,5,11,9,8,3,5,8,9,6,10,12,65
Bernd Buchner,16,52,3,4,5,4,10,5,8,6,4,7,4,8,14,1,6,6,11,14,8,6,7,13,7,5,19,3,6,9,4,4,6,8,7,6,10,10,59
Matthijs de Ligt,25,173,4,8,11,10,16,8,14,13,16,11,15,15,17,10,13,18,17,14,16,15,12,16,16,15,18,18,13,15,16,10,5,17,15,8,16,13,173
Kim Min-Jae,28,165,2,7,11,8,17,7,14,12,18,8,14,14,16,3,14,17,16,16,17,16,12,16,15,15,17,13,12,15,16,6,7,16,14,6,16,13,165
Alphonso Davies,24,172,10,12,18,14,15,9,13,13,17,16,14,13,13,12,19,13,11,14,17,19,15,12,13,16,15,8,14,13,10,9,14,12,13,11,14,13,172
Dayot Upamecano,26,159,3,8,12,10,16,7,13,13,16,12,16,14,16,3,15,17,15,15,15,17,12,15,16,14,17,10,15,13,15,6,10,15,16,7,17,13,159
Noussair Mazraoui,27,150,8,12,14,14,13,9,12,15,12,15,16,13,12,7,14,10,12,11,16,14,15,11,13,15,15,11,14,12,11,12,12,11,14,10,14,15,151
Sacha Boey,24,146,5,13,10,9,17,7,15,13,15,9,14,14,17,5,15,16,15,15,16,15,14,13,13,17,14,9,9,13,8,9,11,14,12,5,16,13,145
Mats Hummels,36,140,4,12,10,9,13,8,15,14,16,13,15,14,15,7,6,14,16,15,12,10,6,16,17,9,16,16,16,16,16,9,8,15,16,12,17,15,136
RaphaÃ«l Guerreiro,31,141,14,15,14,16,9,11,10,17,11,16,12,13,11,16,12,8,10,11,10,11,12,6,16,14,10,5,16,15,7,14,14,9,16,12,12,17,130
Radu DrÄguÅin,23,153,6,12,11,11,14,7,13,15,14,11,11,13,15,6,14,16,15,14,12,15,14,13,13,15,13,13,11,13,16,8,11,16,14,6,15,13,153
Jeremie Frimpong,24,155,7,13,16,16,13,11,11,12,14,16,12,13,12,8,18,10,10,16,15,18,17,7,12,15,13,8,13,13,7,9,8,10,13,8,13,14,155
Mohamed Simakan,25,153,3,12,13,12,13,8,14,12,16,12,14,14,14,4,14,15,14,12,14,16,13,14,14,14,15,11,12,15,14,7,13,15,14,6,15,12,153
Castello Lukeba,22,161,6,8,13,11,14,6,15,13,15,12,14,15,15,6,14,14,16,13,14,16,14,14,17,14,14,13,15,17,15,9,12,14,15,7,13,14,161
Ramy BensebaÃ¯ni,30,146,4,13,11,14,16,10,13,13,16,13,13,13,15,11,13,14,13,12,13,15,12,16,14,16,16,13,12,14,16,8,14,13,13,17,15,13,147
Josip StaniÅ¡iÄ,25,138,3,11,12,11,13,7,14,12,16,11,15,13,13,2,12,13,13,13,15,15,11,13,12,14,16,7,12,12,12,6,11,13,13,5,15,12,142
Willi OrbÃ¡n,32,152,3,8,8,9,15,9,15,12,17,8,15,14,16,3,11,15,15,17,16,12,10,15,13,13,17,16,12,14,17,7,8,16,13,8,16,12,152
Edmond Tapsoba,26,156,3,7,12,9,14,7,15,13,15,10,14,15,16,8,13,15,16,13,12,14,13,16,16,14,13,13,13,15,13,8,8,16,14,15,15,13,156
Ãlex Grimaldo,29,148,14,16,14,15,13,11,12,16,13,15,15,15,15,18,15,8,10,15,15,14,15,7,16,15,13,11,16,14,9,16,13,10,16,12,13,16,147
Benjamin Henrichs,28,149,8,12,12,15,15,8,12,13,15,12,15,13,12,8,13,13,13,12,15,15,13,12,13,15,16,11,13,14,11,8,13,13,14,11,15,13,148
Josip JuranoviÄ,29,135,15,14,11,13,14,8,12,12,17,12,13,12,12,14,15,11,11,16,13,15,13,7,13,15,13,12,12,13,7,10,16,10,12,16,11,13,135
Robin Gosens,31,142,8,13,11,17,16,13,12,12,17,10,15,13,15,6,13,13,11,14,17,15,12,14,12,16,16,13,12,15,16,12,14,11,12,11,14,12,139
Matthias Ginter,31,149,3,10,7,10,12,7,16,12,15,8,16,14,16,8,12,15,15,18,13,13,10,16,16,13,15,15,12,15,16,7,13,15,13,12,13,12,149
Jakub Kiwior,25,151,7,11,13,7,13,7,14,12,14,9,15,13,12,12,16,14,15,15,13,14,14,16,13,13,13,11,12,16,14,9,7,15,14,8,13,13,151
Jonathan Tah,29,144,3,6,9,8,15,6,13,12,13,8,15,13,17,3,12,18,15,13,13,15,10,17,16,12,14,14,11,15,14,6,9,14,14,6,13,12,144
Nico Schlotterbeck,25,152,3,10,13,10,16,8,13,12,18,13,15,13,15,6,13,16,14,14,17,14,12,16,15,13,17,12,14,13,15,12,14,15,15,8,16,13,158
Ko Itakura,28,142,3,7,11,9,14,7,14,12,16,12,16,13,14,3,13,13,15,15,16,14,12,13,15,13,15,12,12,16,13,7,6,15,14,9,14,12,142
Piero HincapiÃ©,23,144,3,10,12,11,17,6,13,13,16,11,13,13,13,4,14,15,15,13,15,15,12,14,14,14,16,11,13,14,13,6,12,15,14,8,15,12,145
Danilho Doekhi,27,138,4,9,8,11,12,7,13,11,16,9,14,13,15,4,11,15,13,13,14,11,11,17,13,14,16,15,12,14,16,6,6,13,12,6,15,12,138
Nico Elvedi,28,137,4,8,8,9,13,6,14,13,12,7,16,13,15,4,13,13,14,13,13,15,11,15,14,14,14,12,12,13,14,6,8,14,14,7,13,12,136
Julian Ryerson,27,143,8,12,13,12,16,8,14,12,16,12,17,12,15,8,13,13,13,15,16,13,13,11,12,16,16,12,11,12,8,9,13,13,12,8,14,13,143
Philipp Lienhart,28,142,4,7,11,9,12,6,15,12,13,8,16,14,15,4,12,14,14,16,12,14,11,16,15,13,13,12,11,15,16,6,16,14,13,7,13,12,143
David Raum,27,143,15,17,12,15,16,9,10,12,17,13,16,12,12,13,15,12,11,17,17,16,14,10,12,17,14,7,13,13,7,10,14,11,12,8,12,12,142
Silvan Widmer,32,130,6,13,11,13,13,8,13,12,16,11,16,13,13,6,12,11,12,12,17,14,11,12,12,15,14,15,11,13,13,8,17,12,12,7,13,13,124
Robin Koch,28,138,2,6,8,8,13,6,13,12,13,7,16,12,16,3,12,15,14,12,14,15,11,16,14,13,14,13,12,14,15,7,10,14,13,6,13,11,135
Joe Scally,22,138,6,13,12,12,13,7,13,12,16,12,16,12,13,6,14,12,12,17,16,15,14,11,11,16,14,6,11,13,10,7,14,13,13,6,13,12,138
Robert Skov,29,132,15,13,12,16,12,10,12,13,12,14,13,12,12,16,13,11,10,12,12,14,13,10,13,13,11,7,13,13,7,15,12,9,13,14,11,14,132
Marco Friedl,27,140,11,12,11,9,17,7,13,12,16,10,14,13,14,13,13,13,14,12,13,14,13,13,12,15,14,14,12,14,12,7,15,14,13,10,15,13,140
Ozan Kabak,25,133,3,6,12,8,16,6,12,12,15,11,12,12,14,3,13,15,14,12,13,13,11,16,12,12,16,11,11,13,16,6,6,14,12,6,15,12,138
Maxence Lacroix,25,138,3,6,13,8,15,6,12,12,16,13,12,13,15,4,15,14,14,16,12,17,12,15,12,13,14,9,12,15,14,6,5,14,13,6,14,13,138
AngeliÃ±o,28,142,15,17,12,16,15,10,10,15,13,13,13,13,12,14,15,10,11,18,15,13,16,7,13,16,12,6,14,13,8,12,17,10,14,10,12,15,142
Mitchell Weiser,31,127,12,13,13,16,15,9,10,12,12,15,11,11,9,11,14,8,10,12,15,14,14,7,11,14,13,4,12,13,7,8,15,9,12,6,13,13,119
Edimilson Fernandes,29,130,13,12,12,12,13,8,12,13,13,13,12,13,15,12,12,13,14,12,11,13,12,13,13,14,12,4,13,15,12,9,13,13,13,6,12,15,129
Dan-Axel Zagadou,26,139,3,8,10,8,11,6,12,12,12,9,14,14,16,4,12,17,14,11,12,13,10,17,12,12,15,12,12,13,13,6,12,14,13,6,14,13,139
Diogo Leite,26,135,3,8,11,8,14,7,14,12,12,7,15,13,14,8,12,14,15,14,15,13,11,14,14,14,13,13,12,13,14,7,11,15,13,6,14,12,135
Kiliann Sildillia,23,134,3,12,12,12,16,6,13,12,13,11,16,12,13,4,13,13,13,14,16,14,13,14,13,14,16,9,12,13,15,7,16,13,12,6,13,13,137
Lukas Klostermann,29,141,2,11,11,12,11,7,14,12,15,10,16,13,15,3,15,14,13,12,15,17,10,14,12,15,15,10,12,14,13,7,15,14,13,6,13,12,140
Christian GÃ¼nter,32,139,16,16,11,15,15,8,12,12,16,11,14,12,12,14,14,11,12,20,16,16,12,10,12,16,13,16,11,12,7,11,18,12,12,7,13,12,136
Waldemar Anton,28,134,3,8,11,11,13,7,14,11,16,8,16,13,15,5,12,14,14,13,16,14,12,15,14,14,16,14,12,13,14,8,12,13,13,6,13,11,134
Marius Wolf,30,140,11,13,12,16,16,10,10,12,17,13,13,12,13,12,14,12,11,11,17,16,12,12,11,16,16,8,12,13,8,11,12,10,12,11,12,12,139
Attila Szalai,27,130,3,9,10,8,15,6,12,11,16,7,13,13,15,5,11,15,14,12,16,13,11,16,12,13,17,14,11,13,14,7,10,13,12,7,13,11,130
MiloÅ¡ VeljkoviÄ,29,128,4,7,8,7,13,6,15,12,12,7,15,14,15,7,9,14,16,10,12,11,10,14,15,13,13,13,11,15,13,7,8,14,12,8,13,11,128
Robin Knoche,33,140,3,8,8,6,15,7,16,11,15,6,17,14,15,3,10,14,16,17,12,12,9,14,14,13,15,15,11,16,14,6,8,16,12,12,14,12,135
Ridle Baku,27,138,11,12,12,16,13,11,9,12,16,13,14,12,11,10,15,11,10,18,16,15,14,8,12,16,14,7,12,12,7,12,12,10,12,8,12,12,138
Strahinja ErakoviÄ,24,140,7,8,8,11,14,7,14,13,14,9,12,14,11,6,13,13,14,13,14,14,14,14,13,15,14,12,11,15,13,10,9,15,12,9,16,11,143
Brandon Williams,24,131,4,11,12,12,17,10,11,12,17,9,14,11,15,2,15,11,10,15,15,14,14,12,11,15,17,9,7,12,10,6,8,13,12,6,14,12,132
Issa KaborÃ©,24,135,10,12,13,15,14,10,14,13,14,13,11,13,10,7,17,13,13,13,10,16,14,9,13,13,12,8,10,13,9,9,9,12,12,10,13,13,140
Felix Uduokhai,27,133,3,8,11,8,15,6,13,11,13,10,12,12,15,4,12,16,13,11,13,13,12,16,13,12,16,15,11,13,14,6,12,14,12,6,14,12,133
Christopher Lenz,30,130,13,12,10,12,13,6,13,12,12,10,16,12,12,13,12,12,13,12,14,14,12,11,12,16,13,12,11,12,11,7,16,13,12,11,14,12,127
Joakim MÃ¦hle,28,137,6,12,13,14,15,9,10,13,15,14,15,12,12,6,14,12,10,16,16,15,13,11,12,17,11,10,12,12,8,11,13,10,12,8,11,13,136
Stefan Lainer,32,113,5,11,10,12,16,7,12,11,16,10,16,12,11,6,11,9,13,14,17,12,9,8,11,15,16,12,10,12,11,7,13,13,11,10,13,11,107
Saud Abdulhamid,25,140,10,13,13,14,12,8,11,12,16,13,12,13,12,9,16,11,13,14,15,15,15,7,12,15,12,10,13,12,11,11,13,12,13,7,13,12,138
Odilon Kossounou,24,138,3,8,12,9,13,6,13,11,15,9,14,13,15,4,13,15,13,13,14,16,11,17,13,13,15,10,12,13,13,6,12,14,13,6,14,11,138
Julian Chabot,27,134,2,7,9,8,16,6,13,11,16,7,12,12,16,4,11,17,14,12,15,12,9,17,12,11,16,13,10,15,16,6,12,14,12,8,14,11,134
Yann Aurel Bisseck,24,133,4,9,10,12,10,7,11,10,14,12,13,13,14,4,11,16,15,15,13,14,12,17,13,12,13,10,9,13,14,13,11,13,11,5,15,12,136
Anthony Caci,28,132,12,14,11,12,11,7,12,12,13,12,15,12,12,11,11,12,13,13,13,13,12,12,12,14,10,8,12,13,12,7,15,13,12,6,14,12,132
Amos Pieper,27,131,4,8,11,8,16,7,14,11,13,7,16,13,14,4,12,14,14,12,15,13,11,15,12,13,15,13,12,12,14,7,8,13,13,8,15,11,131
Marc-Oliver Kempf,30,129,3,8,10,8,16,6,12,11,16,8,13,12,14,6,12,16,13,11,16,15,11,15,11,12,16,14,11,13,16,6,11,13,12,8,13,11,129
Timo HÃ¼bers,28,133,4,6,8,7,16,7,12,10,16,7,14,13,14,6,12,15,14,12,14,15,10,15,12,12,15,13,11,15,14,7,7,14,12,6,15,10,130
Lars Lukas Mai,25,131,3,6,10,7,11,5,12,12,14,9,13,13,13,4,11,15,14,13,12,12,10,16,16,13,14,14,12,14,14,6,6,13,14,8,14,12,131
Andreas Hanche-Olsen,28,127,4,8,7,11,17,7,13,9,18,7,13,12,14,4,12,15,13,15,16,13,12,14,12,14,18,15,10,12,16,6,7,13,11,10,15,9,127
RogÃ©rio,27,133,8,12,12,15,15,6,12,13,14,14,13,13,12,7,15,10,12,13,15,15,15,8,13,15,13,11,12,14,7,9,13,11,13,7,12,13,132
Lukas KÃ¼bler,32,119,4,10,10,12,12,7,12,11,15,6,16,12,14,5,11,12,13,12,14,14,9,12,11,15,16,10,11,12,13,6,15,13,11,6,13,11,112
Kevin Akpoguma,30,131,3,10,12,12,16,6,12,11,15,10,13,12,13,4,14,14,13,12,15,15,12,15,11,14,16,7,11,12,14,7,15,13,12,9,16,11,127
Killian Sardella,23,130,8,13,12,11,14,8,12,14,11,12,13,12,14,8,15,14,12,18,11,14,12,10,12,13,12,12,11,13,11,10,11,14,15,6,13,14,136
Hugo Siquet,23,124,13,14,11,12,15,7,12,10,12,13,14,11,10,11,15,10,10,15,11,14,10,9,11,15,14,12,12,12,9,10,13,11,11,10,12,12,124
Benno Schmitz,30,129,12,14,9,12,14,6,13,12,13,7,16,13,13,11,13,12,12,16,14,12,11,11,13,15,14,10,12,12,11,7,16,12,13,6,14,12,129
Bartol FranjiÄ,25,121,3,8,11,8,14,6,12,12,16,10,17,12,12,6,12,12,13,14,16,12,10,13,11,15,16,15,11,12,12,8,13,13,12,10,13,12,128
El Chadaille Bitshiabu,20,121,1,7,11,7,13,6,13,11,16,10,12,11,13,3,12,16,12,13,12,15,11,15,12,12,13,13,11,12,13,5,12,12,13,6,12,11,123
Nicolas Cozza,26,127,9,11,11,12,13,7,13,12,12,10,14,12,14,7,12,13,14,14,13,13,12,12,13,14,14,10,11,14,12,8,12,14,12,8,14,12,129
Luca Netz,22,130,14,13,12,13,8,8,11,12,15,13,13,12,13,12,14,13,12,14,13,15,14,11,12,14,12,7,12,12,8,10,12,10,12,8,11,13,130
Josha Vagnoman,24,132,4,11,13,14,12,8,11,12,14,12,14,11,14,4,14,14,11,12,14,15,11,15,12,13,14,9,11,12,12,9,15,10,11,8,12,12,134
Marvin Friedrich,29,131,3,8,8,8,15,7,13,11,14,8,13,12,15,3,11,16,14,13,15,13,8,17,11,12,16,14,10,14,16,7,6,14,11,7,14,10,130
Maxim Leitsch,27,127,4,8,8,8,12,6,14,11,12,8,13,13,15,12,14,13,13,10,14,16,11,14,11,11,13,9,11,13,13,6,8,15,12,7,13,11,127
Mads Pedersen,28,128,11,12,11,12,15,6,13,13,14,12,16,12,10,9,15,9,12,13,15,15,13,7,11,14,13,12,10,14,7,6,16,12,11,6,13,12,128
Christopher Trimmel,38,124,18,16,9,15,13,9,13,12,16,10,16,13,14,15,10,10,12,18,16,12,9,14,14,12,15,17,12,14,13,10,16,12,12,10,13,12,113
Pavel KadeÅÃ¡bek,33,116,5,15,9,15,13,8,12,11,16,10,15,12,15,7,11,11,13,12,17,12,9,13,11,15,15,12,11,13,14,10,15,12,11,8,12,10,112
Moritz Jenz,26,134,3,7,10,8,16,7,14,11,16,8,13,13,15,3,12,16,14,13,15,15,10,16,14,12,16,12,11,13,14,6,10,14,12,7,13,11,135
AurÃ©lio Buta,28,129,5,12,13,16,13,7,11,12,13,14,12,12,12,5,15,11,11,11,13,15,15,7,11,15,13,7,11,13,7,9,13,11,11,7,13,13,128
Niklas Stark,30,131,4,8,8,9,16,7,13,12,13,8,16,12,15,10,12,15,13,11,14,14,11,13,13,13,15,14,11,13,14,8,13,13,12,6,16,11,130
Leart Paqarada,30,132,15,16,11,13,14,8,12,13,13,13,12,12,12,16,13,10,12,18,12,14,13,11,12,15,12,14,13,12,7,13,15,11,13,12,12,14,133
Stefan Bell,33,121,2,6,7,8,16,7,15,10,13,7,16,13,14,3,9,10,16,16,12,10,9,17,13,9,15,14,11,16,14,6,6,15,10,4,13,10,118
Iago,28,129,9,16,12,14,13,8,10,13,13,13,12,12,11,8,15,11,10,12,13,16,14,10,12,14,10,6,12,12,7,9,15,10,12,7,12,13,127
Jeremy Dudziak,29,117,11,12,13,12,12,8,10,15,8,15,13,11,10,11,14,8,10,10,11,12,14,7,13,13,11,7,13,12,8,8,12,9,13,10,12,15,116
Timo Baumgartl,29,128,3,7,8,8,12,6,14,11,13,7,16,13,13,4,11,15,14,11,14,13,10,15,13,12,12,13,11,13,13,6,13,14,12,6,15,11,127
Pascal Stenzel,29,125,11,11,10,12,13,6,12,12,13,8,17,14,12,11,11,12,12,14,13,12,11,12,13,15,15,12,12,12,12,12,14,12,13,11,12,11,124
Peru Nolaskoain,26,127,7,7,14,7,11,9,12,13,13,9,14,12,9,7,13,14,13,14,14,13,14,12,12,13,12,13,12,12,14,12,7,13,13,8,13,12,127
Dominique Heintz,31,122,3,8,8,8,13,6,14,11,12,6,16,12,14,5,11,15,14,11,12,11,9,14,13,12,14,11,12,13,13,8,13,15,12,9,13,11,117
Davide Bettella,25,121,7,7,7,8,12,7,12,12,13,6,11,10,13,7,13,14,13,14,12,14,14,14,11,13,12,10,10,14,15,10,11,14,11,6,14,11,121
Thomas Ouwejan,28,126,15,16,10,15,11,8,10,12,12,12,13,12,12,15,12,11,11,11,13,13,12,9,12,15,11,10,13,13,7,11,15,10,13,10,11,13,125
Jonjoe Kenny,28,128,7,12,10,12,16,6,14,11,16,8,16,12,12,8,13,12,12,14,16,13,14,10,10,16,16,10,10,12,10,8,15,12,10,12,14,11,131
Deyovaisio Zeefuik,27,119,9,11,12,11,16,6,10,11,13,12,11,9,15,8,15,14,10,11,13,15,13,11,10,14,15,6,10,10,12,8,14,11,11,6,14,11,119
Maximilian Bauer,25,126,4,7,7,8,16,6,16,11,14,7,14,12,15,4,11,15,14,13,14,13,11,15,12,13,16,10,11,12,14,7,8,14,12,4,13,11,127
Patric Pfeiffer,25,129,2,6,11,8,16,6,12,11,17,11,12,11,14,2,12,13,13,13,12,17,11,17,12,12,15,6,11,13,16,6,7,13,12,4,13,11,133
Enrico Delprato,25,140,10,12,12,13,13,9,15,13,14,11,12,14,13,9,14,13,15,13,12,14,14,13,14,13,14,15,13,14,12,9,11,14,13,9,13,12,140
Sebastian Schonlau,31,127,3,7,10,8,15,6,14,12,13,10,15,13,14,3,10,13,15,15,12,11,10,13,16,13,14,17,12,15,14,6,6,14,13,10,14,12,127
MÃ¡rton DÃ¡rdai,23,134,13,12,11,11,12,7,14,13,15,12,13,13,15,13,12,13,13,11,12,13,13,13,16,14,12,13,13,14,12,9,8,13,14,10,13,14,147
Paul Jaeckel,26,133,3,8,11,8,14,6,13,11,14,7,14,13,13,4,12,14,14,15,13,14,11,14,12,13,15,9,11,14,14,6,10,14,12,10,15,12,133
MichaÅ Karbownik,24,120,10,12,13,11,13,7,10,13,13,13,15,10,10,8,14,9,11,13,12,14,14,7,12,14,12,8,12,11,7,6,12,10,13,6,12,13,120
Marco John,23,125,15,13,12,12,11,7,12,12,13,13,12,12,12,13,12,10,12,11,14,14,12,9,13,14,15,13,13,12,7,8,15,10,13,10,14,13,127
Adamo Nagalo,22,129,8,7,9,8,16,5,14,12,14,7,14,10,13,7,13,13,13,14,14,13,13,14,13,13,14,13,11,14,13,6,9,13,12,8,13,12,129
Reece Oxford,26,124,3,7,8,8,15,6,12,11,11,8,14,12,13,4,12,14,13,7,12,13,11,17,12,11,15,10,11,13,14,6,11,14,12,6,13,12,124
Christoph Klarer,25,121,3,6,9,8,16,5,13,10,15,7,13,12,14,3,12,13,13,15,13,11,11,16,10,12,15,12,10,12,15,5,11,13,11,6,13,10,121
AgustÃ­n Rogel,27,122,3,6,8,7,16,6,12,9,14,6,13,12,14,4,11,16,14,11,15,13,9,16,11,11,16,12,9,13,14,6,8,14,10,6,13,9,123
Felix Agu,25,118,6,12,12,12,11,7,10,12,14,12,12,9,8,6,15,8,11,10,12,15,14,12,10,14,11,4,11,11,11,7,15,11,11,6,11,12,118
Stanley Nsoki,26,130,3,11,13,11,17,6,11,11,15,12,13,11,16,3,13,16,14,13,15,15,12,13,12,13,15,8,12,13,14,6,13,14,12,6,14,12,132
Mehmet AydÄ±n,23,116,7,12,11,12,15,8,12,11,13,13,12,11,12,8,13,11,11,13,15,14,12,9,11,14,15,8,12,12,9,7,13,10,12,11,13,13,116
Edvin KurtuluÅ,25,127,6,11,9,12,15,8,13,12,15,8,12,13,13,6,12,14,13,12,12,13,10,12,13,13,15,11,11,13,13,8,7,14,12,6,14,11,127
Maximilian MittelstÃ¤dt,28,118,12,13,12,13,12,7,10,13,14,11,14,11,12,10,13,11,10,12,15,14,12,10,11,14,14,8,11,12,10,8,15,11,11,10,14,12,118
Matej Maglica,26,121,2,6,10,8,16,6,11,9,16,6,12,11,13,11,10,17,13,13,14,12,8,18,11,12,16,12,10,13,15,7,11,13,11,8,14,9,121
Henning Matriciani,25,119,2,8,10,10,11,6,13,9,18,8,17,11,13,2,12,13,13,18,17,15,9,13,9,15,17,8,8,12,12,6,14,13,10,6,13,8,119
CÃ©dric Brunner,31,122,11,12,11,11,16,6,12,11,15,8,15,12,12,9,12,12,12,11,16,15,11,12,11,14,14,12,10,13,12,6,18,12,11,11,12,11,117
Matthias Bader,28,123,8,14,11,13,14,7,11,11,15,12,13,12,11,8,13,11,12,14,14,15,13,8,12,15,13,7,11,13,7,8,15,12,12,6,13,12,122
Alidu Seidu,25,138,10,11,10,11,12,7,13,11,15,12,12,13,16,8,14,16,13,15,12,15,12,11,11,14,15,11,12,13,12,10,12,14,11,9,14,11,138
Valgeir FriÃ°riksson,23,122,8,11,11,12,8,4,13,11,13,5,13,12,12,7,13,13,13,12,14,13,12,16,11,13,11,6,11,12,11,7,14,13,12,6,13,11,122
Miro Muheim,27,125,12,13,12,12,16,8,10,12,12,12,12,12,11,13,13,11,12,13,13,14,12,12,13,14,13,7,13,13,11,12,12,11,13,7,12,12,124
Olivier Deman,25,125,11,11,11,14,14,8,13,11,15,12,15,12,10,11,13,10,11,15,16,14,12,11,11,15,15,12,12,12,9,8,14,10,11,8,14,11,125
Benedikt Gimber,28,121,3,8,11,8,17,7,12,11,16,8,16,11,14,6,11,13,13,16,15,12,10,14,11,14,16,16,11,12,13,7,8,13,12,12,15,11,121
Kenneth Schmidt,23,124,6,8,11,9,13,6,12,12,13,8,12,12,12,7,12,12,13,13,12,16,13,14,13,13,12,14,12,13,12,7,14,13,13,7,12,12,129
Leo Greiml,24,118,2,7,10,8,16,5,12,10,16,8,12,12,13,3,12,12,13,8,14,12,11,15,12,11,16,11,11,13,14,5,6,13,12,6,14,10,118
Mario VuÅ¡koviÄ,23,123,6,9,11,8,13,7,12,12,15,11,12,12,13,15,12,13,13,14,12,12,11,14,14,12,12,13,12,12,12,12,15,13,13,13,12,12,125
Pascal Klemens,20,130,3,7,10,10,12,7,13,12,15,9,15,12,14,3,13,13,13,14,12,15,12,12,14,13,12,13,14,13,13,8,6,14,14,6,12,12,130
Maxime EstÃ¨ve,23,152,5,6,8,12,12,5,15,13,13,7,13,15,14,4,14,17,14,12,13,17,12,15,15,14,13,12,12,16,15,8,6,15,14,8,14,13,152
Robert Gumny,27,120,7,12,11,12,14,6,11,11,15,10,14,12,12,6,14,11,12,11,14,14,13,13,10,14,14,7,9,12,12,6,16,13,10,7,12,11,120
Philipp Schulz,20,123,2,7,9,10,13,8,12,12,16,12,12,12,14,2,11,14,14,17,14,12,10,16,12,13,13,12,14,13,12,10,4,14,13,8,14,12,131
Moritz Heyer,30,116,3,10,12,11,15,8,10,12,12,10,16,12,13,4,11,12,12,14,13,12,11,12,12,14,14,12,12,12,13,8,15,12,12,7,13,11,114
Stephan Ambrosius,26,118,3,7,10,8,16,5,12,10,15,8,12,11,15,3,12,16,13,11,13,13,11,14,11,11,16,10,10,12,14,6,8,13,11,6,14,10,118
Frans KrÃ¤tzig,22,119,12,12,12,12,8,8,12,13,12,13,13,13,12,11,13,8,9,12,12,12,14,9,13,13,11,8,12,12,7,8,8,10,13,10,11,13,119
Kilian Fischer,24,127,8,12,11,12,14,6,12,11,15,12,16,11,12,7,14,12,12,13,15,15,13,12,11,15,13,7,11,12,7,7,13,11,12,6,13,12,127
Fabian NÃ¼rnberger,25,118,12,12,13,12,15,8,12,12,13,12,16,12,12,11,13,11,12,12,12,13,12,9,12,14,13,9,12,11,8,11,10,11,13,10,12,12,122
Sanoussy Ba,21,126,12,11,13,13,8,8,10,12,14,12,12,11,11,12,14,12,12,13,12,14,13,12,10,13,10,5,11,11,10,9,13,12,12,8,12,12,126
Max FinkgrÃ¤fe,21,116,11,12,12,12,7,7,12,12,14,12,12,10,11,10,14,11,11,12,13,15,13,11,11,14,12,6,12,11,7,8,13,10,11,7,11,11,116
Ibrahima CissÃ©,24,113,3,6,9,8,13,6,10,10,12,8,11,9,15,3,11,16,13,11,12,13,9,17,10,11,14,6,10,10,14,6,8,13,11,6,13,10,113
David Äolina,24,113,8,13,12,12,12,8,11,12,13,13,13,10,10,8,14,9,11,13,15,14,13,8,10,12,12,6,11,12,8,12,16,11,12,7,12,12,113
Fabio Chiarodia,20,119,2,7,12,9,12,6,13,13,15,12,12,12,14,2,12,12,14,13,11,12,12,13,13,12,12,11,13,11,12,6,7,13,13,6,12,12,122
